"","id","gender","nat","lang","age","ip","c_mt","w_id","f_t","t_ini","t_end","trials_n","version","id_p","trial","cond","ex1","ex2","ex3","fep","t_in","t1","t2","t_out","t_in_rep","t1_rep","t2_rep","t_out_rep","rt"
"4758",253,"M","United","English",1991,"67.251.82.6","4YBJBGZ","A1C5SQZ045W0L5",0.366667,"13:20:11","13:25:02",22,"amb_A1",253,5,"dist","hawk","toad","chouette","tortue","geko","tera","kiwi","jellyfish3",1,1,1,0,10518
"4759",254,"F","United","English",1987,"76.177.121.216","C44TNKM","A2131NUJ7Y8NGZ",0.55,"13:20:48","13:25:20",22,"amb_A1",254,11,"fep","black_bear","capincho","panda","lion","zebra","ours","wolf","elephant",0,1,0,0,15102
"4760",254,"F","United","English",1987,"76.177.121.216","C44TNKM","A2131NUJ7Y8NGZ",0.55,"13:20:48","13:25:20",22,"amb_A1",254,6,"dist","gorilla","rabbit","baboon","tarsier","lemur","chimp","cacajao","phacoch",1,1,1,0,7137
"4761",253,"M","United","English",1991,"67.251.82.6","4YBJBGZ","A1C5SQZ045W0L5",0.366667,"13:20:11","13:25:02",22,"amb_A1",253,19,"filler_yes","pinguouin","mesange","swan","gazania","owl","dindon","ara","libellule",1,1,1,1,5517
"4762",253,"M","United","English",1991,"67.251.82.6","4YBJBGZ","A1C5SQZ045W0L5",0.366667,"13:20:11","13:25:02",22,"amb_A1",253,21,"filler_no","mesange","paon","owl","pachys","pinguouin","spider","calocera","mycena3",0,0,0,1,12137
"4764",253,"M","United","English",1991,"67.251.82.6","4YBJBGZ","A1C5SQZ045W0L5",0.366667,"13:20:11","13:25:02",22,"amb_A1",253,17,"dist","alces","dog","oryx","hippopotame","pig","cerf","cow","tarsier",1,1,1,0,8399
"4765",254,"F","United","English",1987,"76.177.121.216","C44TNKM","A2131NUJ7Y8NGZ",0.55,"13:20:48","13:25:20",22,"amb_A1",254,4,"fep","alces","black_bear","oryx","lama","dromadaire","cerf","cow","beaver",1,1,1,0,6918
"4766",253,"M","United","English",1991,"67.251.82.6","4YBJBGZ","A1C5SQZ045W0L5",0.366667,"13:20:11","13:25:02",22,"amb_A1",253,14,"filler_yes","ara","perruche","mesange","anthopleura","duck","tera","swan","urchin",1,1,1,1,6124
"4767",254,"F","United","English",1987,"76.177.121.216","C44TNKM","A2131NUJ7Y8NGZ",0.55,"13:20:48","13:25:20",22,"amb_A1",254,10,"filler_yes","perruche","tera","owl","apples","swan","pelican","pinguouin","actinia",0,0,1,0,10168
"4768",253,"M","United","English",1991,"67.251.82.6","4YBJBGZ","A1C5SQZ045W0L5",0.366667,"13:20:11","13:25:02",22,"amb_A1",253,8,"fep","peach","edulis","pears","cactus2","pachys","apples","horn","cassiopea",1,1,1,0,12947
"4769",253,"M","United","English",1991,"67.251.82.6","4YBJBGZ","A1C5SQZ045W0L5",0.366667,"13:20:11","13:25:02",22,"amb_A1",253,7,"fep","mouse","pig2","hamster","rabbit","tarsier","rat","squirrel","elephant",1,1,1,0,10176
"4771",253,"M","United","English",1991,"67.251.82.6","4YBJBGZ","A1C5SQZ045W0L5",0.366667,"13:20:11","13:25:02",22,"amb_A1",253,15,"fep","cactus2","nymph","cactus","pachys","iris","cactus3","pears","cypre",1,1,0,0,14349
"4772",257,"M","United","English",1968,"24.229.33.69","GUSK6Y","A3DIS5O83SQJWW",0.833333,"13:23:34","13:32:52",22,"amb_A1",257,4,"filler_fep","hippopotame","bison","okapi","oak","oryx","giraffe","alces","peach",1,1,1,0,22487
"4773",253,"M","United","English",1991,"67.251.82.6","4YBJBGZ","A1C5SQZ045W0L5",0.366667,"13:20:11","13:25:02",22,"amb_A1",253,16,"fep","cacajao","giraffe","chimp","capincho","rat","gorilla","tarsier","toad",0,1,0,0,10611
"4774",254,"F","United","English",1987,"76.177.121.216","C44TNKM","A2131NUJ7Y8NGZ",0.55,"13:20:48","13:25:20",22,"amb_A1",254,9,"filler_no","swan","ara","chouette","macareux","acropora","piceap","copro","apples",0,0,0,0,8187
