"","id","gender","nat","lang","age","ip","c_mt","w_id","f_t","t_ini","t_end","trials_n","version","id_p","trial","cond","ex1","ex2","ex3","fep","t_in","t1","t2","t_out","t_in_rep","t1_rep","t2_rep","t_out_rep","rt"
"4994",270,"M","United","English",1973,"139.67.17.50","K2PABQC","AZG3ZFBPSL91I",0.6,"13:35:40","13:43:01",22,"amb_A1",270,6,"dist","mouse","gorilla","hamster","capincho","rabbit","rat","squirrel","camel",0,1,1,0,28320
"4998",264,"M","United","English",1984,"98.172.176.106","DPQYNB3","A2CMTWGF8QXWQ2",0.416667,"13:34:24","13:38:36",22,"amb_A1",264,19,"dist","cactus3","victoria","cactus","pachys","toxicodon","cactus2","aster","taxus",0,1,0,0,8636
"4999",264,"M","United","English",1984,"98.172.176.106","DPQYNB3","A2CMTWGF8QXWQ2",0.416667,"13:34:24","13:38:36",22,"amb_A1",264,21,"fep","paon","frog","pinguouin","tortue","geko","pelican","emu","jellyfish",1,1,1,0,10668
"5005",266,"M","United","English",1975,"66.234.106.2","REHUQU2","A28Q19NTTP0UIQ",0.7,"13:34:56","13:39:40",22,"amb_A1",266,20,"filler_no","pelican","swan","duck","grasshopper2","tera","bux","hypocreopsis","pears",0,0,0,1,4494
"5008",273,"M","United","English",1988,"108.252.223.41","7WSD7GL","A2BOANV5MQGOM5",0.483333,"13:36:55","13:43:27",22,"amb_A1",273,2,"fep","duck","toad","ara","tortue","geko","macareux","casuarius","jellyfish3",1,1,1,0,21455
"5012",273,"M","United","English",1988,"108.252.223.41","7WSD7GL","A2BOANV5MQGOM5",0.483333,"13:36:55","13:43:27",22,"amb_A1",273,1,"filler_yes","felis","snow_lep","red_panda","dog","leopard","panther","potiron","lycaon",1,1,0,0,24797
"5014",266,"M","United","English",1975,"66.234.106.2","REHUQU2","A28Q19NTTP0UIQ",0.7,"13:34:56","13:39:40",22,"amb_A1",266,17,"fep","horn","bux","chestnut","baobab","cactus","oak","apples","hyacinth2",0,0,1,0,17600
"5015",264,"M","United","English",1984,"98.172.176.106","DPQYNB3","A2CMTWGF8QXWQ2",0.416667,"13:34:24","13:38:36",22,"amb_A1",264,22,"fep","panda","tarsier","ours","cat","cheval","black_bear","dog","elephant",1,1,1,0,9663
"5018",264,"M","United","English",1984,"98.172.176.106","DPQYNB3","A2CMTWGF8QXWQ2",0.416667,"13:34:24","13:38:36",22,"amb_A1",264,18,"filler_no","rouge","macareux","chouette","pelican","piceap","morchella","amanite1","spider",0,0,0,0,4996
"5020",272,"M","United","English",1995,"104.4.211.61","M5ZXYHZ","AJ53IRY8SC840",0.4,"13:36:01","13:40:20",22,"amb_A1",272,9,"fep","pears","hyacinth2","peach","baobab","cactus3","apples","horn","victoria",0,1,0,0,11255
"5021",266,"M","United","English",1975,"66.234.106.2","REHUQU2","A28Q19NTTP0UIQ",0.7,"13:34:56","13:39:40",22,"amb_A1",266,14,"fep","cow","tarsier","capri","rhino","lion","bison","cerf","elephant",1,1,1,0,9273
"5023",264,"M","United","English",1984,"98.172.176.106","DPQYNB3","A2CMTWGF8QXWQ2",0.416667,"13:34:24","13:38:36",22,"amb_A1",264,20,"dist","capri","panda","bison","phacoch","lama","cow","oryx","porcupine",1,1,1,0,5134
"5027",272,"M","United","English",1995,"104.4.211.61","M5ZXYHZ","AJ53IRY8SC840",0.4,"13:36:01","13:40:20",22,"amb_A1",272,8,"fep","cerf","rat","oryx","lycaon","dog","alces","cow","frog",0,1,1,0,11936
"5028",266,"M","United","English",1975,"66.234.106.2","REHUQU2","A28Q19NTTP0UIQ",0.7,"13:34:56","13:39:40",22,"amb_A1",266,15,"fep","baboon","camel","chimp","tarsier","beaver","gorilla","cacajao","toad",1,1,1,0,14005
"5032",272,"M","United","English",1995,"104.4.211.61","M5ZXYHZ","AJ53IRY8SC840",0.4,"13:36:01","13:40:20",22,"amb_A1",272,14,"filler_no","dindon","tera","hawk","acropora","pinguouin","grasshopper2","bee","cruentomycena",0,0,0,1,11680
"5033",272,"M","United","English",1995,"104.4.211.61","M5ZXYHZ","AJ53IRY8SC840",0.4,"13:36:01","13:40:20",22,"amb_A1",272,10,"dist","oak","colchique","horn","cactus","bux","bouleau","pears","cypre",1,1,1,1,7159
"5034",272,"M","United","English",1995,"104.4.211.61","M5ZXYHZ","AJ53IRY8SC840",0.4,"13:36:01","13:40:20",22,"amb_A1",272,11,"filler_no","pinguouin","mesange","dindon","mussida","pelican","morchella","phellodon","nenuphar",0,0,0,1,6082
"5037",272,"M","United","English",1995,"104.4.211.61","M5ZXYHZ","AJ53IRY8SC840",0.4,"13:36:01","13:40:20",22,"amb_A1",272,12,"filler_fep","corynactis","acropora","anthopleura","squirrel","actinia","montipora","diplora","mussida",1,1,1,1,8363
"5039",270,"M","United","English",1973,"139.67.17.50","K2PABQC","AZG3ZFBPSL91I",0.6,"13:35:40","13:43:01",22,"amb_A1",270,7,"fep","bouleau","toxicodon","chestnut","baobab","cactus2","oak","apples","victoria",0,0,0,0,27313
"5041",272,"M","United","English",1995,"104.4.211.61","M5ZXYHZ","AJ53IRY8SC840",0.4,"13:36:01","13:40:20",22,"amb_A1",272,13,"fep","cactus3","nenuphar","cactus2","bux","toxicodon","cactus","apples","juniperus",0,1,0,1,7265
"5043",266,"M","United","English",1975,"66.234.106.2","REHUQU2","A28Q19NTTP0UIQ",0.7,"13:34:56","13:39:40",22,"amb_A1",266,19,"fep","hamster","okapi","rat","porcupine","tarsier","mouse","squirrel","frog",0,1,1,0,7713
"5046",266,"M","United","English",1975,"66.234.106.2","REHUQU2","A28Q19NTTP0UIQ",0.7,"13:34:56","13:39:40",22,"amb_A1",266,22,"dist","cerf","wolf","oryx","phacoch","lama","alces","cow","capincho",1,1,1,0,6761
"5053",273,"M","United","English",1988,"108.252.223.41","7WSD7GL","A2BOANV5MQGOM5",0.483333,"13:36:55","13:43:27",22,"amb_A1",273,3,"filler_yes","dindon","rouge","tera","geoglossum","pinguouin","macareux","duck","cassiopea",1,1,1,0,17918
"5055",270,"M","United","English",1973,"139.67.17.50","K2PABQC","AZG3ZFBPSL91I",0.6,"13:35:40","13:43:01",22,"amb_A1",270,9,"filler_fep","hippopotame","giraffe","bison","juniperus","okapi","cow","oryx","alces",1,1,1,1,14827
"5056",272,"M","United","English",1995,"104.4.211.61","M5ZXYHZ","AJ53IRY8SC840",0.4,"13:36:01","13:40:20",22,"amb_A1",272,20,"dist","baobab","taxus","peach","pachys","orchid","horn","gazania","cassiopea",1,1,1,0,5986
"5062",270,"M","United","English",1973,"139.67.17.50","K2PABQC","AZG3ZFBPSL91I",0.6,"13:35:40","13:43:01",22,"amb_A1",270,10,"filler_fep","pelican","tera","mesange","chestnut","ara","macareux","swan","horn",1,1,1,1,10365
"5064",273,"M","United","English",1988,"108.252.223.41","7WSD7GL","A2BOANV5MQGOM5",0.483333,"13:36:55","13:43:27",22,"amb_A1",273,6,"filler_fep","perruche","pelican","swan","edulis","duck","ara","mesange","rouge",1,1,1,0,12175
"5068",266,"M","United","English",1975,"66.234.106.2","REHUQU2","A28Q19NTTP0UIQ",0.7,"13:34:56","13:39:40",22,"amb_A1",266,21,"filler_fep","capincho","hamster","beaver","chestnut","porcupine","squirrel","rat","orchid2",0,1,1,1,8282
"5073",272,"M","United","English",1995,"104.4.211.61","M5ZXYHZ","AJ53IRY8SC840",0.4,"13:36:01","13:40:20",22,"amb_A1",272,15,"dist","alces","ours","oryx","hippopotame","lama","cerf","bison","porcupine",1,1,1,0,20125
"5076",272,"M","United","English",1995,"104.4.211.61","M5ZXYHZ","AJ53IRY8SC840",0.4,"13:36:01","13:40:20",22,"amb_A1",272,18,"dist","tarsier","tortue","gorilla","cheval","elephant","cacajao","mouse","jellyfish",1,1,1,0,5990
"5079",272,"M","United","English",1995,"104.4.211.61","M5ZXYHZ","AJ53IRY8SC840",0.4,"13:36:01","13:40:20",22,"amb_A1",272,17,"fep","cow","elephant","capri","rhino","lion","bison","cerf","toad",1,1,1,0,9373
"5083",270,"M","United","English",1973,"139.67.17.50","K2PABQC","AZG3ZFBPSL91I",0.6,"13:35:40","13:43:01",22,"amb_A1",270,11,"filler_yes","mesange","ara","tera","anthopleura","hawk","perruche","chouette","actinia",1,1,1,0,13727
"5084",272,"M","United","English",1995,"104.4.211.61","M5ZXYHZ","AJ53IRY8SC840",0.4,"13:36:01","13:40:20",22,"amb_A1",272,16,"fep","bison","panda","capri","lama","camel","cow","oryx","lemur",0,1,1,0,9325
"5087",273,"M","United","English",1988,"108.252.223.41","7WSD7GL","A2BOANV5MQGOM5",0.483333,"13:36:55","13:43:27",22,"amb_A1",273,5,"dist","mycena3","morchella","mycena2","trametes","calocera","mycena","boletus","jellyfish2",0,1,1,0,16008
"5088",273,"M","United","English",1988,"108.252.223.41","7WSD7GL","A2BOANV5MQGOM5",0.483333,"13:36:55","13:43:27",22,"amb_A1",273,4,"fep","alces","ours","oryx","phacoch","lama","cerf","bison","porcupine",0,1,1,0,30023
"5100",270,"M","United","English",1973,"139.67.17.50","K2PABQC","AZG3ZFBPSL91I",0.6,"13:35:40","13:43:01",22,"amb_A1",270,12,"fep","panda","lemur","black_bear","cat","zebra","ours","dog","elephant",0,1,0,0,25777
"5105",272,"M","United","English",1995,"104.4.211.61","M5ZXYHZ","AJ53IRY8SC840",0.4,"13:36:01","13:40:20",22,"amb_A1",272,19,"filler_yes","rouge","hawk","tera","apples","duck","dindon","owl","mesange",1,1,1,1,4661
"5108",273,"M","United","English",1988,"108.252.223.41","7WSD7GL","A2BOANV5MQGOM5",0.483333,"13:36:55","13:43:27",22,"amb_A1",273,7,"dist","chimp","elephant","baboon","tarsier","rabbit","gorilla","cacajao","frog",0,1,1,0,9947
"5121",273,"M","United","English",1988,"108.252.223.41","7WSD7GL","A2BOANV5MQGOM5",0.483333,"13:36:55","13:43:27",22,"amb_A1",273,8,"filler_fep","paon","dindon","hawk","grasshopper","chouette","pinguouin","macareux","spider2",1,1,1,0,11920
"5123",273,"M","United","English",1988,"108.252.223.41","7WSD7GL","A2BOANV5MQGOM5",0.483333,"13:36:55","13:43:27",22,"amb_A1",273,12,"fep","hamster","hippopotame","rat","capincho","tarsier","mouse","squirrel","elephant",0,1,1,0,13392
"5132",272,"M","United","English",1995,"104.4.211.61","M5ZXYHZ","AJ53IRY8SC840",0.4,"13:36:01","13:40:20",22,"amb_A1",272,22,"dist","cruentomycena","vibrissea","mycena2","fomitopsis","calocera","mycena3","boletus","jellyfish3",1,1,1,0,5758
"5136",270,"M","United","English",1973,"139.67.17.50","K2PABQC","AZG3ZFBPSL91I",0.6,"13:35:40","13:43:01",22,"amb_A1",270,13,"filler_no","corynactis","actinia","montipora","diplora","bison","oak","tarsier","capincho",0,0,0,0,8091
"5138",272,"M","United","English",1995,"104.4.211.61","M5ZXYHZ","AJ53IRY8SC840",0.4,"13:36:01","13:40:20",22,"amb_A1",272,21,"filler_no","macareux","ara","duck","starfish2","paon","montipora","fly","mussida",0,0,0,1,6731
"5139",273,"M","United","English",1988,"108.252.223.41","7WSD7GL","A2BOANV5MQGOM5",0.483333,"13:36:55","13:43:27",22,"amb_A1",273,10,"filler_yes","hippopotame","capri","oryx","hydnellum","bison","giraffe","cerf","cruentomycena",1,0,1,0,14187
"5140",270,"M","United","English",1973,"139.67.17.50","K2PABQC","AZG3ZFBPSL91I",0.6,"13:35:40","13:43:01",22,"amb_A1",270,17,"dist","alces","tiger","oryx","lama","dromadaire","cerf","bison","lemur",1,1,1,0,14122
"5148",273,"M","United","English",1988,"108.252.223.41","7WSD7GL","A2BOANV5MQGOM5",0.483333,"13:36:55","13:43:27",22,"amb_A1",273,9,"fep","horn","bux","chestnut","baobab","cactus","oak","apples","hyacinth2",0,1,1,0,17957
"5149",270,"M","United","English",1973,"139.67.17.50","K2PABQC","AZG3ZFBPSL91I",0.6,"13:35:40","13:43:01",22,"amb_A1",270,14,"dist","cerf","lycaon","oryx","hippopotame","lama","alces","capri","beaver",1,1,1,0,22538
